iter	MultiClass
0	1.074019428
1	1.048601595
2	1.027925059
3	1.009875589
4	0.9942482028
5	0.9815744566
6	0.969454525
7	0.9550230141
8	0.9408944956
9	0.9284464504
10	0.9201131511
11	0.9100756211
12	0.9003548951
13	0.892743721
14	0.8854813056
15	0.8768860945
16	0.8695601902
17	0.863492182
18	0.8560185184
19	0.8487532538
20	0.8421366495
21	0.8351237825
22	0.829157016
23	0.8231987779
24	0.8160019878
25	0.8113272744
26	0.8058946859
27	0.8001731873
28	0.7949966175
29	0.7899405263
30	0.7855639718
31	0.7792639381
32	0.7745769834
33	0.7700062163
34	0.7647347052
35	0.7593780787
36	0.7550971932
37	0.7515580783
38	0.7482942217
39	0.7448674225
40	0.7405182376
41	0.73670498
42	0.7329782825
43	0.7313804678
44	0.7281178669
45	0.7252179206
46	0.7229278826
47	0.7196410056
48	0.7163936629
49	0.7125259723
50	0.7096625102
51	0.7055981935
52	0.7029062412
53	0.6991976867
54	0.6962249972
55	0.6928501764
56	0.6903296307
57	0.6867307
58	0.6832769968
59	0.6808655462
60	0.6779994185
61	0.6758634847
62	0.6726847442
63	0.6701223405
64	0.6669464935
65	0.6646763407
66	0.6629595003
67	0.660061042
68	0.6570992554
69	0.6542545759
70	0.6522689098
71	0.649386127
72	0.6465982244
73	0.644125097
74	0.6426506919
75	0.6402901381
76	0.6374263591
77	0.635056982
78	0.6322269216
79	0.6300360453
80	0.6285343321
81	0.6267951043
82	0.6234793535
83	0.6221719868
84	0.6198313301
85	0.6173891072
86	0.6157555039
87	0.6138504876
88	0.6116260463
89	0.609278312
90	0.6065437686
91	0.6045513575
92	0.6018059659
93	0.6001359774
94	0.5975039625
95	0.596026774
96	0.5929822989
97	0.5905830787
98	0.5884373163
99	0.5872173206
100	0.5847026496
101	0.5822373766
102	0.5803714085
103	0.5787578614
104	0.5761383058
105	0.5749439362
106	0.5733496434
107	0.5714203517
108	0.5690522758
109	0.5669530327
110	0.5648150292
111	0.563757506
112	0.5620006418
113	0.5590555996
114	0.5573011716
115	0.5561042547
116	0.5541651643
117	0.5517685329
118	0.5497717285
119	0.5477536665
120	0.5457125216
121	0.5442975218
122	0.5423928317
123	0.5403580348
124	0.5387613427
125	0.537117624
126	0.5351859178
127	0.5336492252
128	0.5324794067
129	0.5310456699
130	0.5297731819
131	0.5285542266
132	0.5269863554
133	0.5251671385
134	0.5245112549
135	0.5229143166
136	0.5216549027
137	0.5196224131
138	0.5180649136
139	0.516816252
140	0.5155070334
141	0.5135938354
142	0.5116716608
143	0.5098183583
144	0.5088128821
145	0.507316471
146	0.5061247908
147	0.5045402251
148	0.5030687956
149	0.5023195242
150	0.5008189939
151	0.4990946418
152	0.4973778225
153	0.4961065029
154	0.4947393203
155	0.4938175929
156	0.4919605784
157	0.4910189837
158	0.4901453029
159	0.4882931878
160	0.4871667661
161	0.4860337912
162	0.4849248921
163	0.4834182728
164	0.4824048038
165	0.4811682291
166	0.4798023222
167	0.478373877
168	0.47691699
169	0.4756685012
170	0.4745038505
171	0.473417371
172	0.4728077129
173	0.4718655407
174	0.4710187841
175	0.4699008636
176	0.4687891316
177	0.4676263709
178	0.4668628311
179	0.4656606909
180	0.4640415784
181	0.4633652819
182	0.4621059016
183	0.4613148938
184	0.4601831004
185	0.4591287119
186	0.4580820286
187	0.4570163444
188	0.4562298044
189	0.4554459271
190	0.453978566
191	0.4523999108
192	0.4513472599
193	0.4497841973
194	0.4488924048
195	0.4479272568
196	0.4474048991
197	0.446069118
198	0.445392789
199	0.4439051468
200	0.4429443013
201	0.4417857465
202	0.4408060093
203	0.4398137285
204	0.4386008442
205	0.4376946832
206	0.4365400236
207	0.435428982
208	0.4348006013
209	0.4334474039
210	0.4323591184
211	0.4315159512
212	0.430937644
213	0.4301937011
214	0.4292636675
215	0.4285502513
216	0.42752059
217	0.4268059316
218	0.4262514182
219	0.4255179513
220	0.4247673553
221	0.4235872155
222	0.4225157849
223	0.42195289
224	0.4211202275
225	0.4197737889
226	0.4186996219
227	0.4186057091
228	0.4174236221
229	0.4163234148
230	0.4156710028
231	0.4150750894
232	0.4139315456
233	0.4129162987
234	0.412007961
235	0.411169213
236	0.4101295619
237	0.4093958924
238	0.409064643
239	0.4085361894
240	0.4082064516
241	0.4072852828
242	0.4064627804
243	0.4059783771
244	0.405377908
245	0.4044487512
246	0.4038992952
247	0.4031185336
248	0.4022981193
249	0.4014850939
250	0.4010563249
251	0.4001309356
252	0.3995772557
253	0.3991014495
254	0.3985477003
255	0.3980061886
256	0.3974497955
257	0.39714104
258	0.3970223143
259	0.3964796119
260	0.3957777542
261	0.3951437763
262	0.3950664738
263	0.3944675409
264	0.3938773124
265	0.3932570456
266	0.3927042981
267	0.3918824979
268	0.3915260165
269	0.3914505296
270	0.3905554464
271	0.3902453043
272	0.3896681088
273	0.3889327063
274	0.3879565225
275	0.3870457023
276	0.3862586339
277	0.3857451433
278	0.3850308753
279	0.3843499015
280	0.3833256574
281	0.3826885243
282	0.3818592138
283	0.3808433312
284	0.3802686847
285	0.3801991676
286	0.3796880709
287	0.3790016781
288	0.3783206357
289	0.3775636863
290	0.3765631457
291	0.3757650231
292	0.3751602175
293	0.3746512946
294	0.3740168086
295	0.3734717675
296	0.372836019
297	0.3718807232
298	0.3712443971
299	0.3711780051
300	0.3707542224
301	0.3700227912
302	0.3699606368
303	0.3691034113
304	0.3690424215
305	0.3682580117
306	0.3674619909
307	0.3672221636
308	0.3670720095
309	0.3668577091
310	0.3665293696
311	0.3664720464
312	0.366153533
313	0.3656352504
314	0.3653352082
315	0.364916328
316	0.3643681446
317	0.3637130818
318	0.3632498615
319	0.3626772913
320	0.3623146151
321	0.3614388349
322	0.3606854223
323	0.3604970122
324	0.3598582906
325	0.3589827227
326	0.3586170252
327	0.3581435124
328	0.3574548438
329	0.3568062523
330	0.3562657564
331	0.3558974285
332	0.3555057831
333	0.3546645953
334	0.3541252723
335	0.3540383014
336	0.3535592714
337	0.3529276639
338	0.3523806594
339	0.351657985
340	0.3510590934
341	0.3503127729
342	0.3498822606
343	0.3492657705
344	0.3488431489
345	0.348436755
346	0.3479823093
347	0.3479331823
348	0.3472653436
349	0.3465743041
350	0.3460176107
351	0.3451550568
352	0.3446710435
353	0.3440864582
354	0.3435428289
355	0.3429114522
356	0.3428076947
357	0.3422662687
358	0.3418015003
359	0.3410409296
360	0.3407312834
361	0.3406788396
362	0.3402018178
363	0.3396842234
364	0.3391389862
365	0.3386137126
366	0.3381426197
367	0.3375899457
368	0.337544774
369	0.3373589095
370	0.3367193756
371	0.3362112252
372	0.335826137
373	0.3357907632
374	0.3352225769
375	0.3347688871
376	0.3347236405
377	0.3341359917
378	0.3336215103
379	0.3329566533
380	0.3324196888
381	0.3319620037
382	0.33135921
383	0.3309405753
384	0.330453763
385	0.3300109682
386	0.3292742062
387	0.32871311
388	0.3285916933
389	0.3285445416
390	0.3278765852
391	0.3274487117
392	0.3274075724
393	0.3266289225
394	0.3260669666
395	0.3256867622
396	0.3250202239
397	0.3244538297
398	0.3240013056
399	0.3239262668
400	0.3235652559
401	0.3228918281
402	0.3225403056
403	0.3221047388
404	0.3216796509
405	0.3212502614
406	0.320768869
407	0.3205772508
408	0.3200598275
409	0.3195965508
410	0.319242049
411	0.3189942216
412	0.3182787436
413	0.3179641496
414	0.3177296685
415	0.3172243017
416	0.3168361637
417	0.3163420864
418	0.3158061686
419	0.3152595666
420	0.3149924306
421	0.3146190482
422	0.314248928
423	0.3141970297
424	0.31416212
425	0.3141108084
426	0.3137340818
427	0.3132343629
428	0.3128617176
429	0.3128256192
430	0.3125461297
431	0.3121148414
432	0.3117411597
433	0.3112750848
434	0.3110021305
435	0.3109286362
436	0.3105977029
437	0.310561644
438	0.3105333095
439	0.3101025273
440	0.3095191172
441	0.3094547398
442	0.3089938051
443	0.3088734615
444	0.3083794524
445	0.3083376192
446	0.3082593439
447	0.3078546789
448	0.3075216704
449	0.3072432306
450	0.3068207862
451	0.3067757518
452	0.3065241692
453	0.3059645788
454	0.3055632202
455	0.3051143646
456	0.3045734853
457	0.3042247674
458	0.3038410627
459	0.3036442297
460	0.3032317077
461	0.3027270402
462	0.3022787847
463	0.3021092508
464	0.3015031257
465	0.3010389291
466	0.3003637195
467	0.2997908073
468	0.2993592386
469	0.298824049
470	0.2984170483
471	0.2983687027
472	0.29807622
473	0.2977426586
474	0.2976988712
475	0.2973699636
476	0.2968738199
477	0.2961655082
478	0.2956538895
479	0.2953471781
480	0.2951126889
481	0.2946257591
482	0.2943217261
483	0.2939009162
484	0.2935860733
485	0.2935473886
486	0.2932540746
487	0.2932017204
488	0.2931753296
489	0.2927903725
490	0.2927642094
491	0.2921010345
492	0.2916777141
493	0.2912322542
494	0.2908760845
495	0.2903625723
496	0.2902983833
497	0.2900828594
498	0.2896424584
499	0.2892052517
500	0.2887680517
501	0.2884781282
502	0.2879934065
503	0.2879630708
504	0.2875280165
505	0.287311953
506	0.2872828713
507	0.2868985492
508	0.2867520902
509	0.2863942143
510	0.2863573118
511	0.2863038532
512	0.2860720624
513	0.2856308366
514	0.2853237147
515	0.2849066614
516	0.2843935129
517	0.2838131702
518	0.2832691418
519	0.282880053
520	0.282798154
521	0.2824521111
522	0.2820145148
523	0.281678476
524	0.2814305163
525	0.2810699685
526	0.2807744123
527	0.2802734652
528	0.2799093632
529	0.279594577
530	0.2792576726
531	0.2789164674
532	0.2784662859
533	0.2777188852
534	0.2773883723
535	0.2769865225
536	0.276599634
537	0.2762706777
538	0.2758650282
539	0.2754001685
540	0.2751086822
541	0.2748046532
542	0.2747822829
543	0.2747094682
544	0.274262722
545	0.2740559728
546	0.2736780043
547	0.2736391549
548	0.273326236
549	0.2729807026
550	0.2729566682
551	0.2729283155
552	0.2725185157
553	0.2724908913
554	0.2722853008
555	0.2719830046
556	0.2717375208
557	0.2715105437
558	0.2712694832
559	0.2709815246
560	0.2709584446
561	0.2707547617
562	0.2704203853
563	0.2701284013
564	0.2697535014
