iter	Passed	Remaining
0	5	3310
1	9	2783
2	15	2833
3	18	2656
4	23	2655
5	27	2562
6	31	2503
7	35	2440
8	39	2447
9	43	2422
10	47	2404
11	52	2406
12	56	2402
13	60	2393
14	64	2378
15	69	2383
16	73	2369
17	77	2346
18	80	2318
19	85	2323
20	88	2300
21	92	2278
22	95	2257
23	100	2261
24	104	2256
25	109	2278
26	113	2267
27	117	2261
28	121	2246
29	125	2230
30	128	2215
31	133	2216
32	137	2208
33	141	2210
34	145	2198
35	149	2191
36	152	2181
37	156	2167
38	159	2153
39	163	2151
40	167	2143
41	171	2133
42	174	2124
43	179	2122
44	182	2111
45	186	2099
46	189	2089
47	193	2083
48	197	2081
49	201	2077
50	205	2067
51	209	2063
52	212	2056
53	216	2046
54	219	2036
55	223	2031
56	227	2025
57	230	2018
58	234	2010
59	237	2002
60	242	2001
61	246	1996
62	249	1986
63	252	1978
64	257	1979
65	262	1984
66	267	1986
67	271	1984
68	275	1978
69	278	1969
70	281	1960
71	285	1952
72	289	1950
73	292	1942
74	296	1934
75	299	1927
76	304	1929
77	308	1926
78	311	1919
79	315	1912
80	320	1912
81	323	1906
82	326	1898
83	330	1891
84	334	1888
85	338	1883
86	341	1878
87	345	1872
88	349	1869
89	353	1864
90	356	1857
91	360	1851
92	364	1847
93	367	1842
94	371	1836
95	374	1830
96	377	1823
97	382	1823
98	386	1817
99	389	1811
100	393	1805
101	397	1805
102	401	1803
103	405	1798
104	409	1793
105	413	1791
106	417	1785
107	420	1779
108	423	1773
109	428	1771
110	432	1768
111	435	1763
112	439	1756
113	443	1753
114	446	1748
115	450	1741
116	453	1736
117	457	1731
118	461	1728
119	464	1722
120	467	1716
121	471	1710
122	475	1707
123	478	1702
124	482	1696
125	485	1691
126	489	1686
127	493	1685
128	497	1681
129	500	1676
130	504	1672
131	508	1667
132	511	1662
133	515	1657
134	518	1651
135	522	1648
136	526	1643
137	529	1638
138	532	1633
139	536	1629
140	540	1626
141	544	1622
142	547	1616
143	552	1614
144	555	1609
145	558	1604
146	562	1599
147	565	1593
148	570	1591
149	573	1586
150	576	1580
151	579	1575
152	584	1574
153	588	1569
154	591	1564
155	594	1559
156	599	1557
157	603	1554
158	608	1553
159	611	1548
160	616	1546
161	619	1541
162	623	1537
163	626	1532
164	631	1530
165	634	1525
166	638	1521
167	641	1516
168	645	1513
169	649	1509
170	653	1505
171	656	1500
172	660	1495
173	664	1493
174	667	1488
175	671	1483
176	674	1478
177	679	1476
178	682	1472
179	686	1467
180	689	1462
181	693	1460
182	698	1457
183	702	1453
184	705	1449
185	709	1446
186	713	1442
187	716	1437
188	720	1432
189	723	1428
190	727	1425
191	731	1420
192	734	1416
193	738	1412
194	742	1408
195	745	1403
196	749	1399
197	752	1395
198	757	1392
199	760	1388
200	764	1383
201	767	1379
202	772	1376
203	775	1372
204	778	1367
205	782	1363
206	787	1361
207	791	1357
208	794	1353
209	798	1349
210	802	1345
211	805	1341
212	809	1337
213	812	1332
214	815	1328
215	819	1324
216	823	1320
217	826	1316
218	830	1311
219	834	1308
220	838	1304
221	841	1300
222	844	1295
223	849	1292
224	852	1288
225	856	1284
226	859	1279
227	862	1275
228	866	1271
229	870	1267
230	873	1262
231	876	1258
232	881	1256
233	885	1253
234	890	1249
235	893	1246
236	898	1243
237	902	1240
238	906	1236
239	911	1234
240	915	1230
241	919	1227
242	923	1223
243	927	1220
244	931	1217
245	935	1213
246	939	1209
247	943	1205
248	947	1201
249	950	1197
250	953	1193
251	958	1190
252	977	1205
253	981	1201
254	985	1197
255	989	1194
256	994	1192
257	998	1188
258	1002	1184
259	1006	1181
260	1010	1177
261	1014	1172
262	1017	1168
263	1022	1165
264	1026	1162
265	1031	1159
266	1035	1155
267	1039	1151
268	1043	1148
269	1047	1144
270	1051	1141
271	1055	1137
272	1059	1133
273	1062	1128
274	1066	1125
275	1071	1121
276	1074	1117
277	1078	1113
278	1082	1109
279	1086	1106
280	1090	1102
281	1093	1097
282	1097	1093
283	1101	1089
284	1105	1085
285	1108	1081
286	1111	1077
287	1115	1073
288	1119	1069
289	1122	1064
290	1126	1060
291	1130	1057
292	1134	1053
293	1138	1049
294	1141	1045
295	1146	1042
296	1150	1038
297	1154	1034
298	1157	1029
299	1161	1026
300	1165	1022
301	1168	1017
302	1171	1013
303	1175	1009
304	1179	1005
305	1183	1001
306	1187	997
307	1190	993
308	1194	989
309	1197	985
310	1201	980
311	1204	976
312	1208	973
313	1212	969
314	1215	964
315	1219	960
316	1223	956
317	1227	953
318	1230	949
319	1234	944
320	1237	940
321	1241	936
322	1244	932
323	1248	928
324	1251	924
325	1255	920
326	1258	916
327	1262	911
328	1265	907
329	1269	904
330	1273	900
331	1276	895
332	1279	891
333	1283	887
334	1287	884
335	1292	880
336	1295	876
337	1298	872
338	1302	868
339	1306	864
340	1309	860
341	1313	856
342	1317	852
343	1320	848
344	1324	844
345	1327	840
346	1332	836
347	1335	832
348	1338	828
349	1342	824
350	1345	820
351	1349	816
352	1353	812
353	1356	808
354	1360	804
355	1364	801
356	1367	796
357	1371	792
358	1374	788
359	1378	785
360	1383	781
361	1386	777
362	1389	773
363	1394	770
364	1398	766
365	1401	762
366	1404	757
367	1408	753
368	1411	749
369	1415	745
370	1418	741
371	1421	737
372	1426	734
373	1429	729
374	1432	725
375	1436	721
376	1439	717
377	1443	713
378	1446	709
379	1450	705
380	1453	701
381	1457	698
382	1461	694
383	1464	690
384	1468	686
385	1472	682
386	1475	678
387	1479	674
388	1482	670
389	1486	667
390	1490	663
391	1494	659
392	1497	655
393	1501	651
394	1505	647
395	1508	643
396	1512	640
397	1515	636
398	1520	632
399	1524	628
400	1527	624
401	1530	620
402	1535	617
403	1538	613
404	1542	609
405	1545	605
406	1550	601
407	1553	597
408	1557	593
409	1560	589
410	1564	586
411	1568	582
412	1571	578
413	1575	574
414	1578	570
415	1582	566
416	1587	563
417	1590	559
418	1594	555
419	1598	551
420	1601	547
421	1604	543
422	1607	539
423	1612	536
424	1615	532
425	1618	528
426	1622	524
427	1625	520
428	1629	516
429	1632	512
430	1636	508
431	1639	504
432	1643	501
433	1647	497
434	1650	493
435	1653	489
436	1657	485
437	1661	481
438	1664	477
439	1668	473
440	1671	469
441	1676	466
442	1680	462
443	1683	458
444	1687	455
445	1691	451
446	1694	447
447	1697	443
448	1701	439
449	1705	435
450	1708	431
451	1712	428
452	1715	424
453	1719	420
454	1722	416
455	1726	412
456	1729	408
457	1733	404
458	1737	401
459	1740	397
460	1744	393
461	1747	389
462	1752	385
463	1755	382
464	1758	378
465	1762	374
466	1766	370
467	1769	366
468	1773	362
469	1776	359
470	1781	355
471	1785	351
472	1789	347
473	1792	344
474	1795	340
475	1799	336
476	1802	332
477	1806	328
478	1809	324
479	1814	321
480	1818	317
481	1821	313
482	1824	309
483	1829	306
484	1832	302
485	1835	298
486	1839	294
487	1843	290
488	1846	287
489	1849	283
490	1853	279
491	1856	275
492	1861	271
493	1864	267
494	1868	264
495	1871	260
496	1875	256
497	1879	252
498	1883	249
499	1886	245
500	1890	241
501	1894	237
502	1897	233
503	1900	230
504	1904	226
505	1908	222
506	1911	218
507	1914	214
508	1918	211
509	1922	207
510	1926	203
511	1929	199
512	1932	195
513	1936	192
514	1940	188
515	1944	184
516	1947	180
517	1950	176
518	1955	173
519	1958	169
520	1961	165
521	1965	161
522	1970	158
523	1973	154
524	1976	150
